sex_female,sex_male,embarked_C,embarked_Q,embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,pclass,age,sibsp,parch,fare,FamilySize,IsAlone,HasCabin
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,25.0000,0.0000,0.0000,7.9250,1.0000,1.0000,0.0000
1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,41.0000,0.0000,0.0000,134.5000,1.0000,1.0000,1.0000
0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,28.0000,0.0000,0.0000,7.7333,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,18.0000,0.0000,0.0000,7.7750,1.0000,1.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,29.0000,1.0000,0.0000,21.0000,2.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,19.0000,0.0000,0.0000,7.6500,1.0000,1.0000,1.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,46.0000,0.0000,0.0000,26.0000,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,3.0000,28.0000,0.0000,4.0000,25.4667,5.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,28.0000,0.0000,0.0000,26.0000,1.0000,1.0000,1.0000
1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,36.0000,0.0000,0.0000,135.6333,1.0000,1.0000,1.0000
0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,21.0000,0.0000,0.0000,7.7500,1.0000,1.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,22.0000,0.0000,0.0000,8.0500,1.0000,1.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,28.0000,0.0000,0.0000,7.8958,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,36.0000,0.0000,0.0000,13.0000,1.0000,1.0000,1.0000
1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,23.0000,0.0000,0.0000,13.7917,1.0000,1.0000,1.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,16.0000,0.0000,0.0000,86.5000,1.0000,1.0000,1.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,28.0000,3.0000,1.0000,25.4667,5.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,10.0000,0.0000,2.0000,24.1500,3.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,28.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,28.0000,0.0000,2.0000,7.7500,3.0000,0.0000,0.0000
0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,47.0000,1.0000,0.0000,227.5250,2.0000,0.0000,1.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,10.0000,5.0000,2.0000,46.9000,8.0000,0.0000,0.0000
1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,35.0000,0.0000,0.0000,7.7500,1.0000,1.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,29.0000,0.0000,0.0000,7.8542,1.0000,1.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,36.0000,0.0000,0.0000,7.8958,1.0000,1.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,35.0000,0.0000,0.0000,7.1250,1.0000,1.0000,0.0000
1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,3.0000,1.0000,2.0000,41.5792,4.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,27.0000,1.0000,0.0000,53.1000,2.0000,0.0000,1.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,22.0000,0.0000,0.0000,8.9625,1.0000,1.0000,0.0000
0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,28.0000,0.0000,0.0000,7.2292,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,32.0000,0.0000,0.0000,13.0000,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,28.0000,0.0000,0.0000,7.8792,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,48.0000,1.0000,2.0000,65.0000,4.0000,0.0000,0.0000
0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,28.0000,0.0000,0.0000,7.7500,1.0000,1.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,3.0000,28.0000,1.0000,0.0000,16.1000,2.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,7.0000,4.0000,1.0000,39.6875,6.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,18.0000,0.0000,0.0000,7.7958,1.0000,1.0000,0.0000
