sex_female,sex_male,embarked_C,embarked_Q,embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,pclass,age,sibsp,parch,fare,FamilySize,IsAlone,HasCabin
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.8358,0.6651,-0.4789,-0.4554,-0.5054,-0.5592,0.8217,-0.5512
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.3532,-0.6887,-0.4789,0.7278,-0.2490,0.0558,-1.2170,-0.5512
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.3532,0.9837,0.4344,-0.4554,-0.1316,0.0558,-1.2170,-0.5512
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.8358,-0.1313,-0.4789,-0.4554,-0.3761,-0.5592,0.8217,-0.5512
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.3532,-0.3702,-0.4789,-0.4554,-0.0436,-0.5592,0.8217,-0.5512
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8358,-2.0425,0.4344,0.7278,-0.3331,0.6708,-1.2170,1.8141
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-1.5422,1.4615,-0.4789,-0.4554,-0.1404,-0.5592,0.8217,1.8141
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-1.5422,1.7800,-0.4789,-0.4554,-0.0631,-0.5592,0.8217,1.8141
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.3532,2.1782,-0.4789,-0.4554,-0.4055,-0.5592,0.8217,-0.5512
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.8358,-0.1313,-0.4789,-0.4554,-0.5011,-0.5592,0.8217,-0.5512
0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.3532,-0.1313,-0.4789,-0.4554,-0.3654,-0.5592,0.8217,-0.5512
0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.8358,0.7448,-0.4789,1.9110,-0.5184,0.6708,-1.2170,-0.5512
0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.3532,-2.3077,0.4344,0.7278,-0.3761,0.6708,-1.2170,-0.5512
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8358,-0.9276,-0.4789,-0.4554,-0.4673,-0.5592,0.8217,-0.5512
1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-1.5422,-0.6887,1.3478,1.9110,4.4733,1.9007,-1.2170,1.8141
0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.3532,-0.4498,-0.4789,-0.4554,-0.4544,-0.5592,0.8217,-0.5512
1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,-0.3532,1.2226,0.4344,0.7278,-0.1463,0.6708,-1.2170,-0.5512
0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-1.5422,0.8244,-0.4789,-0.4554,-0.0533,-0.5592,0.8217,1.8141
