sex_female,sex_male,pclass,fare,IsAlone,HasCabin
0.0000,1.0000,0.8358,-0.5048,0.8217,-0.5512
1.0000,0.0000,-1.5422,1.9716,0.8217,1.8141
0.0000,1.0000,0.8358,-0.5085,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.5077,0.8217,-0.5512
0.0000,1.0000,-0.3532,-0.2490,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5102,0.8217,1.8141
0.0000,1.0000,-0.3532,-0.1512,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.1616,-1.2170,-0.5512
0.0000,1.0000,-1.5422,-0.1512,0.8217,1.8141
1.0000,0.0000,-1.5422,1.9937,0.8217,1.8141
0.0000,1.0000,0.8358,-0.5082,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5023,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5054,0.8217,-0.5512
1.0000,0.0000,-0.3532,-0.4055,0.8217,1.8141
1.0000,0.0000,-0.3532,-0.3900,0.8217,1.8141
1.0000,0.0000,-1.5422,1.0325,0.8217,1.8141
1.0000,0.0000,0.8358,-0.1616,-1.2170,-0.5512
1.0000,0.0000,0.8358,-0.1874,-1.2170,-0.5512
0.0000,1.0000,-1.5422,-0.6598,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.5082,-1.2170,-0.5512
0.0000,1.0000,-1.5422,3.7915,-1.2170,1.8141
1.0000,0.0000,0.8358,0.2577,-1.2170,-0.5512
1.0000,0.0000,0.8358,-0.5082,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5062,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5054,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5204,0.8217,-0.5512
1.0000,0.0000,-0.3532,0.1536,-1.2170,-0.5512
0.0000,1.0000,-1.5422,0.3790,-1.2170,1.8141
1.0000,0.0000,0.8358,-0.4845,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5184,0.8217,-0.5512
1.0000,0.0000,-0.3532,-0.4055,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.5057,0.8217,-0.5512
1.0000,0.0000,-0.3532,0.6118,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5082,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.3448,-1.2170,-0.5512
0.0000,1.0000,0.8358,0.1166,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5073,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5023,0.8217,-0.5512
0.0000,1.0000,-0.3532,-0.4544,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.5106,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5339,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5132,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.3616,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5220,-1.2170,-0.5512
1.0000,0.0000,-1.5422,1.9937,0.8217,1.8141
0.0000,1.0000,0.8358,-0.4740,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.5023,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5048,0.8217,-0.5512
1.0000,0.0000,-1.5422,0.5023,-1.2170,-0.5512
0.0000,1.0000,-1.5422,-0.1526,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5077,0.8217,-0.5512
0.0000,1.0000,-0.3532,-0.4544,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5185,0.8217,-0.5512
1.0000,0.0000,-0.3532,-0.2490,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.4904,0.8217,-0.5512
1.0000,0.0000,-1.5422,0.1110,-1.2170,1.8141
0.0000,1.0000,-1.5422,0.2303,0.8217,-0.5512
1.0000,0.0000,-1.5422,3.7915,0.8217,1.8141
0.0000,1.0000,0.8358,-0.5048,-1.2170,-0.5512
0.0000,1.0000,-1.5422,0.8828,-1.2170,1.8141
1.0000,0.0000,0.8358,-0.5173,0.8217,-0.5512
0.0000,1.0000,-0.3532,-0.4055,0.8217,-0.5512
1.0000,0.0000,-0.3532,0.0641,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5062,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.0458,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5062,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.3781,-1.2170,-0.5512
0.0000,1.0000,-0.3532,-0.4055,0.8217,-0.5512
1.0000,0.0000,-1.5422,0.7292,-1.2170,1.8141
0.0000,1.0000,-0.3532,-0.4544,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5054,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.5085,0.8217,-0.5512
0.0000,1.0000,-0.3532,-0.0240,-1.2170,-0.5512
1.0000,0.0000,0.8358,-0.5082,0.8217,-0.5512
0.0000,1.0000,-1.5422,4.4733,-1.2170,1.8141
0.0000,1.0000,0.8358,-0.5023,0.8217,-0.5512
1.0000,0.0000,-1.5422,2.5657,-1.2170,-0.5512
1.0000,0.0000,0.8358,0.0127,-1.2170,-0.5512
1.0000,0.0000,-1.5422,4.4856,-1.2170,1.8141
0.0000,1.0000,0.8358,-0.5184,0.8217,-0.5512
0.0000,1.0000,-1.5422,4.4733,-1.2170,1.8141
1.0000,0.0000,-0.3532,-0.1512,-1.2170,-0.5512
1.0000,0.0000,-1.5422,0.4338,-1.2170,1.8141
1.0000,0.0000,0.8358,-0.2644,-1.2170,-0.5512
1.0000,0.0000,0.8358,-0.2475,-1.2170,-0.5512
0.0000,1.0000,-1.5422,0.9497,-1.2170,1.8141
0.0000,1.0000,0.8358,-0.5054,0.8217,-0.5512
0.0000,1.0000,-0.3532,-0.4544,-1.2170,-0.5512
1.0000,0.0000,-1.5422,0.3086,-1.2170,1.8141
1.0000,0.0000,-0.3532,-0.1169,-1.2170,-0.5512
0.0000,1.0000,0.8358,0.4455,0.8217,-0.5512
0.0000,1.0000,0.8358,0.4455,0.8217,-0.5512
0.0000,1.0000,-1.5422,4.1827,-1.2170,1.8141
0.0000,1.0000,0.8358,-0.5054,0.8217,-0.5512
0.0000,1.0000,-0.3532,-0.2930,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.2923,0.8217,-0.5512
1.0000,0.0000,0.8358,-0.5082,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.4904,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5023,0.8217,-0.5512
0.0000,1.0000,-0.3532,0.1032,-1.2170,-0.5512
0.0000,1.0000,-0.3532,-0.4055,0.8217,1.8141
0.0000,1.0000,0.8358,-0.2644,-1.2170,-0.5512
1.0000,0.0000,0.8358,-0.2289,-1.2170,-0.5512
1.0000,0.0000,-0.3532,-0.1512,-1.2170,-0.5512
1.0000,0.0000,-1.5422,4.1827,-1.2170,1.8141
0.0000,1.0000,0.8358,-0.2050,-1.2170,-0.5512
0.0000,1.0000,0.8358,-0.5184,0.8217,-0.5512
0.0000,1.0000,0.8358,-0.5023,0.8217,-0.5512
0.0000,1.0000,-1.5422,-0.0788,0.8217,1.8141
